Probe Set ID	Gene Symbol
1416357_a_at	Mcam
1416358_at	Mfsd10
1416359_at	Snx18
1416360_at	Snx18
1416361_a_at	Dync1i1
1416362_a_at	Fkbp4
1416363_at	Fkbp4 /// LOC100048743
1416364_at	Hsp90ab1
1416365_at	Hsp90ab1
1416366_at	Ndufc2
1416367_at	Fmc1
1416368_at	Gsta4
1416369_at	Hiatl1
1416370_at	Zscan21
1416371_at	Apod
1416372_at	LOC674712 /// Ptdss1
1416373_at	Nfs1
1416374_at	Ap3m1
1416375_at	Ap3m1
1416376_at	Tmem97
1416377_at	Pdcd7
1416378_at	Pnkp
1416379_at	Panx1
1416380_at	Mov10
1416381_a_at	Prdx5
1416382_at	Ctsc
1416383_a_at	Pcx
1416384_a_at	Cope
1416385_a_at	M6pr
1416386_a_at	M6pr
1416387_at	Pip4k2c
1416388_at	Pip4k2c
1416389_a_at	Rcbtb2
1416390_at	Rcbtb2
1416391_at	Ptcd1
1416392_a_at	Atp6v0c
1416393_at	Emg1
1416394_at	Bag1
1416395_at	Guk1
1416396_at	Gm9514 /// Snx4
1416397_at	Mesdc1
1416398_at	Mesdc1
1416399_a_at	Hmox2
1416400_at	Pycrl
1416401_at	Cd82
1416402_at	Abcb10
1416403_at	Abcb10
1416404_s_at	Gm10079 /// Rps16
1416405_at	Bgn
1416406_at	Pea15a
1416407_at	Pea15a
1416408_at	Acox1
1416409_at	Acox1
1416410_at	Pafah1b3
1416411_at	Gstm2
1416412_at	Nsmaf
1416413_at	Ctsj
1416414_at	Emilin1
1416415_a_at	H2afz
1416416_x_at	Gstm1
1416417_a_at	Ndufb7
1416418_at	Gabarapl1
1416419_s_at	Gabarapl1
1416420_a_at	Gm10117 /// Gm7206 /// Gm9822 /// Rpl9
1416421_a_at	Ssb
1416422_a_at	Ssb
1416423_x_at	Ssb
1416424_at	Plin3
1416425_at	Pex19
1416426_at	Rab5a
1416427_at	Ccni
1416428_at	Thap11
1416429_a_at	Cat
1416430_at	Cat
1416431_at	Tubb6
1416432_at	Pfkfb3
1416433_at	Rpa2
1416434_at	Bcl2l10
1416435_at	Ltbr
1416436_a_at	Uqcc
1416437_a_at	Mapk8ip3
1416438_at	Puf60
1416439_at	Dctpp1
1416440_at	Cd164
1416441_at	Pgcp
1416442_at	Ier2
1416443_a_at	Sae1
1416444_at	Elovl2
1416445_at	Fam98a
1416446_at	Tmem30a
