ID	Cy5	Cy3	Ratio	Sum	LogRat
YLL028W	1757	2767	0.63	4435	-0.66
YLL032C	702	1290	0.54	1902	-0.9
YLL036C	1442	2079	0.69	3433	-0.53
YLL052C	824	1056	0.79	1791	-0.34
YLL056C	312	763	0.39	986	-1.36
YLL060C	408	971	0.41	1291	-1.3
YLR289W	782	1740	0.44	2433	-1.18
YLR293C	12057	18721	0.64	30689	-0.64
YLR297W	1120	1984	0.56	3015	-0.83
YLR312W-A	2827	4826	0.58	7564	-0.77
YLR316C	770	1088	0.71	1769	-0.5
YLR320W	487	715	0.68	1113	-0.55
YLR336C	1613	1253	1.31	2776	0.39
YLR340W	22694	10949	2.08	33553	1.06
YLR344W	44943	14603	3.09	59456	1.63
YLR360W	659	1301	0.5	1869	-1.01
YLR364W	399	536	0.75	846	-0.42
YLR368W	1013	1673	0.6	2596	-0.73
YMR055C	345	718	0.47	974	-1.1
YMR059W	1444	1939	0.75	3294	-0.42
YMR063W	531	1104	0.47	1545	-1.08
YMR078C	1010	1531	0.66	2452	-0.6
YMR082C	121	211	0.54	243	-0.89
YMR086C-A	96	214	0.38	222	-1.4
YMR101C	142	284	0.46	338	-1.11
YMR105C	1209	6263	0.19	7384	-2.4
YMR109W	723	1276	0.56	1911	-0.83
YMR124W	938	1685	0.55	2535	-0.86
YMR128W	964	564	1.81	1440	0.86
YMR132C	896	1508	0.59	2316	-0.76
YNL095C	438	553	0.8	902	-0.32
YNL099C	2375	4335	0.55	6620	-0.87
YNL103W	3436	7354	0.47	10700	-1.1
YNL119W	1476	1251	1.2	2637	0.26
YNL123W	2325	2928	0.8	5164	-0.33
YNL127W	235	504	0.44	650	-1.17
YNL143C	68	298	0.14	277	-2.89
YNL147W	4727	7656	0.62	12293	-0.7
YNL151C	2620	1827	1.46	4357	0.54
YNL167C	1006	2084	0.48	3001	-1.07
YNL171C	125	271	0.41	307	-1.29
YNL175C	1933	652	3.17	2496	1.66
YOL058W	7135	12449	0.57	19495	-0.8
YOL062C	2112	4730	0.44	6754	-1.17
YOL066C	844	1052	0.81	1807	-0.31
YOL082W	2415	7886	0.3	10212	-1.72
YOL086C	47586	31064	1.53	78560	0.62
YOL090W	2432	3636	0.67	5978	-0.58
