Display_Name	Portion_Default	Portion_Display_Name	Calories	Saturated_Fats
Milky Way candy bar	1	bar (1.9 oz)	228.42	4.2066
Milky Way candy bar	2	king size bar (3.6 oz)	431.46	7.9458
Milky Way candy bar	2	miniature bar (0.3 oz)	35.955	0.66215
M&M's candies with peanuts	1	package (1.67 oz)	242.52	4.8551
M&M's candies with peanuts	2	cup	219.3	4.39025
M&M's candies with peanuts	2	fun size package (0.7 oz)	123.84	2.4792
Peanut brittle	1	medium piece (0.3 oz)	43.56	0.3726
Peanut brittle	2	small piece (0.2 oz)	21.78	0.1863
Peanut brittle	2	large piece (0.5 oz)	62.92	0.5382
Peanut butter cups (Reese's)	1	package (2 cups, 1.6 oz)	231.75	4.8285
Peanut butter cups (Reese's)	2	miniature cup	36.05	0.7511
Fast Break candy bar (Reese's)	1	regular size bar	282.15	4.58052
Hard candy	2	roll (0.9 oz, 12 pieces)	102.44	0
Hard candy	1	ball	31.52	0
Hard candy	2	candy cane	59.1	0
Hard candy	2	fun size package	31.52	0
Hard candy	2	lollipop	82.74	0
Hard candy	2	mint	20.094	0
M&M's plain chocolate candies	1	package (1.7 oz)	236.16	6.2784
M&M's plain chocolate candies	2	cup (66 pieces)	255.84	6.8016
M&M's plain chocolate candies	2	fun size package (0.7 oz)	103.32	2.7468
Taffy	1	piece	37.318	0.20492
Taffy	2	package (8 pieces)	162.77	0.8938
Dietetic hard candy	1	Sweet'n Low candy	14.25	0
Dietetic hard candy	2	cup hard candy	185.625	0
Dietetic hard candy	2	lollipop (.5 oz)	52.5	0
Dietetic hard candy	2	cough drop	3.75	0
Dietetic chocolate-covered candy	1	section candy bar	40.25	1.5337
Dietetic chocolate-covered candy	2	cup TV Mix	267.375	10.18815
Dietetic chocolate-covered candy	2	cup covered raisins	273.125	10.40725
Dietetic chocolate-covered candy	2	piece Peanut Butter Cups	46	1.7528
Dietetic chocolate-covered candy	2	section chocolate wafers	28.75	1.0955
Dietetic chocolate-covered candy	2	section Crunch Bar	34.5	1.3146
Chewing gum (made with sugar)	1	piece	9.88	0.0016
Chewing gum (made with sugar)	2	6-foot long tape	37.05	0.006
Chewing gum (made with sugar)	2	gum ball	4.94	8e-04
Chewing gum (sugar-free)	1	piece	5.36	0.0012
Coffee	1	coffee cup (cup = 6 fl oz)	7.08	0
Coffee	2	mug ( mug = 8 fl oz)	9.48	0
Tea (sweetened)	2	teacup (cup = 6 fl oz)	52.5	0
Tea (sweetened)	2	mug (mug = 8 fl oz)	70	0
Tea (sweetened)	1	fluid ounces	105	0
Tonic water (quinine water)	1	can	124.44	0
Tonic water (quinine water)	2	cup	82.96	0
Club soda (seltzer)	1	can	0	0
Club soda (seltzer)	2	cup	0	0
Soft drink, regular	1	can	154.98	0
Soft drink, regular	2	bottle ( bottle = 16 fl oz)	206.64	0
Soft drink, regular	2	small (drink = 16 fl oz)	206.64	0
Soft drink, regular	2	medium (drink = 22 fl oz)	283.92	0
Soft drink, regular	2	large (drink = 32 fl oz)	413.28	0
Soft drink, regular	2	extra large (drink = 44 fl oz)	568.26	0
Soft drink, diet	1	can	3.55	0
Soft drink, diet	2	bottle ( bottle = 16 fl oz)	4.73	0
Vegetable oil (canola, corn, olive, etc)	1	Tablespoon	120.224	1.7068
